Employee Id, Full Name, Gender, Date of Birth, Joined Date, Salary (USD), Branch
EN_0001, Aditi Musunur, Male,3/24/1990,7/5/2011,1500, Sri Lanka
EN_0002, Advitiya Sujeet, Male,7/28/1986,3/24/2010,1600, Sri Lanka
EN_0003, Alagesan Poduri, Male,5/25/1982,6/24/2016,1800, Sri Lanka
EN_0004, Amrish Ilyas, Female,10/24/1987,12/17/2013,2000, India
EN_0005, Aprativirya Seshan, Female,12/16/1981,3/14/2012,1750, India
EN_0006, Asvathama Ponnada, Male,1/9/1986,6/18/2014,2300, Pakistan
EN_0007, Avantas Ghosal, Female,10/5/1981,8/26/2016,4200, Pakistan
EN_0008, Avidosa Vaisakhi, Male,8/9/1980,3/5/2018,3100, Bangladesh
EN_0009, Barsati Sandipa, Male,4/9/1988,5/3/2011,2925, Bangladesh
EN_0010, Debasis Sundhararajan, Female,3/26/1990,5/18/2015,2800, Bangladesh
